id,Company Name,Company Type,Company industry,Company size,Country,Working days,Overtime Policy,Company overview,Our key skills,Why you'll love working here,Location,Href,Company_overview,clean_text,length_original,length_cleaned,word_count_original,word_count_cleaned
0,1BITLAB Technology,IT Outsourcing,Software Development Outsourcing,1-50 employees,Vietnam,Monday - Friday,No OT,"1BITLAB Technology
Công ty cổ phần công nghệ 1bitlab với lĩnh vực hoạt động: CNTT chuyên về mảng Blockchain, AI. Công ty làm việc với khách hàng Nhật Bản. Đội ngũ nhân sự trẻ, nhiệt huyết, thức thời tiếp cận nhanh sự phát triển của thị trường và biến đổi liên tục.  
Về môi trường làm việc: Làm việc trực tiếp với đội ngũ quản lý, được cung cấp những kiến thức chuyên ngành là cơ hội để bạn nâng tầm bản thân. Bên cạnh đó, việc hợp tác với nhiều đối tác lớn trên thế giới sẽ mang đến cho bạn định hướng phát triển sự nghiệp bền vững, chuyên nghiệp.",,,"{'Ha Noi': ['81 Lê Đức Thọ, Nam Từ LIêm, Hà Nội, Nam Tu Liem, Ha Noi']}","https://itviec.com/companies/1bitlab-technology
",1bitlab technology công ty cổ phần công nghệ 1bitlab với lĩnh vực hoạt động cntt chuyên về mảng blockchain ai công ty làm việc với khách hàng nhật bản đội ngũ nhân sự trẻ nhiệt huyết thức thời tiếp cận nhanh sự phát triển của thị trường và biến đổi liên tục về môi trường làm việc làm việc trực tiếp với đội ngũ quản lý được cung cấp những kiến thức chuyên ngành là cơ hội để bạn nâng tầm bản thân bên cạnh đó việc hợp tác với nhiều đối tác lớn trên thế giới sẽ mang đến cho bạn định hướng phát triển sự nghiệp bền vững chuyên nghiệp,bitlab technology công ty cổ phần công nghệ bitlab với lĩnh vực hoạt động cntt chuyên về mảng blockchain ai công ty làm việc với khách hàng nhật bản đội ngũ nhân sự trẻ nhiệt huyết thức thời tiếp cận nhanh sự phát triển của thị trường và biến đổi liên tục về môi trường làm việc làm việc trực tiếp với đội ngũ quản lý được cung cấp những kiến thức chuyên ngành là cơ hội để bạn nâng tầm bản thân bên cạnh đó việc hợp tác với nhiều đối tác lớn trên thế giới sẽ mang đến cho bạn định hướng phát triển sự nghiệp bền vững chuyên nghiệp,548,531,112,112
1,1test,IT Product,IT Services and IT Consulting,1-50 employees,South Korea,Monday - Friday,No OT,"1test
Is an innovative educational technology company committed to transforming the learning experience through advanced artificial intelligence (AI) and machine learning (ML) technologies. Our groundbreaking platform revolutionizes education by offering a new way to conduct tests, assignments, and practice sessions. We provide comprehensive reports and gamified learning experiences that enhance engagement and optimize performance. Our mission is to empower academies, educators, and learners with cutting-edge solutions that elevate education to new heights.",,,"{'Ho Chi Minh': ['Remote, District 1, Ho Chi Minh'], 'Ha Noi': ['Remote, Ba Dinh, Ha Noi'], 'Da Nang': ['Remote, Hai Chau, Da Nang']}","https://itviec.com/companies/1test
",1test innovative educational technology company committed transforming learning experience advanced artificial intelligence ai machine learning ml technologies groundbreaking platform revolutionizes education offering new way conduct tests assignments practice sessions provide comprehensive reports gamified learning experiences enhance engagement optimize performance mission empower academies educators learners cutting edge solutions elevate education new heights,test innovative educational technology company committed transforming learning experience advanced artificial intelligence ai machine learning technologies groundbreaking platform revolutionizes education offering new way conduct tests assignments practice sessions provide comprehensive reports gamified learning experiences enhance engagement optimize performance mission empower academies educators learners cutting edge solutions elevate education new heights,563,463,72,50
2,52 Entertainment,IT Product,Game,1-50 employees,France,Monday - Friday,No OT,"A start-up of French and Vietnamese guys with passion on games development
Who we are? 
● A kind of start-up 
● French and Vietnamese guys, live in French and Vietnam 
● Have business team in France and development team in Vietnam

What we do?
● Create games, especially 2D multiplayer games 
● Have famous games in France. Please check following links:
○ Web https://exoty.com/
○ iOS https://itunes.apple.com/us/developer/game-publishing/id920761535
○ Android https://play.google.com/store/apps/dev?id=5961295858920322921
○ Facebook https://www.facebook.com/search/apps/?q=exoty","Our Key Skills
Java
Games
QA QC
C#
Unity
Tester","Be your own boss
A free lunch and a half day off each month
Work on real products, in touch with real users
- Work on real products, in touch with real users
- Put your work in hand of thousands of users and receive instant feedback
- Work on big projects
- Have your own working schedule
- Keep challenging yourself
- Learn something new everyday
- Be your own boss
- Work from Monday to Friday
- Each month, we have a free lunch and a half day off (which mean, you will have 12 + 6 days off compare to other companies)
- 13th month salary
- Salary is competitive","{'Ho Chi Minh': ['Tầng 7, 23 Trần Cao Vân, Phường Đa Kao, District 1, Ho Chi Minh']}","https://itviec.com/companies/52-entertainment
",start french vietnamese guys passion games development kind start french vietnamese guys live french vietnam business team france development team vietnam create games especially 2d multiplayer games famous games france check following links web https exoty com ios https itunes apple com developer game publishing id920761535 android https play google com store apps dev id 5961295858920322921 facebook https www facebook com search apps q exoty,start french vietnamese guys passion games development kind start french vietnamese guys live french vietnam business team france development team vietnam create games especially d multiplayer games famous games france check following links web exoty com ios itunes apple com developer game publishing id android play google com store apps dev id facebook facebook com search apps q exoty,579,388,73,59
3,8Seneca,IT Outsourcing,IT Services and IT Consulting,1-50 employees,Singapore,Monday - Friday,No OT,"Pure play IT team extensions B2b exclusive outsourcing of highly qualified IT professionals
What is PURE PLAY company?
Company solely focused on b2b service without having own developed products for b2c market
Most famous examples of Pure Play companies are TSMC and Global Foundries which provide only production service to other companies while ensuring that their IP rights and design are kept safe.
Why to choose PURE PLAY company 8SENECA for your IT team extensions?
Flexibility of the team’s size
High level of expertise while having full control over the product and intellectual property
Ability of tailored approach
Agile integration with your internal team",,"Ha Noi
19F, Coninco Tower 4 Tôn Thất Tùng, Dong Da, Ha Noi
Ho Chi Minh
Remote, Other, Ho Chi Minh","{'Ha Noi': ['19F, Coninco Tower 4 Tôn Thất Tùng, Dong Da, Ha Noi'], 'Ho Chi Minh': ['Remote, Other, Ho Chi Minh']}","https://itviec.com/companies/8seneca
",pure play team extensions b2b exclusive outsourcing highly qualified professionals pure play company company solely focused b2b service having developed products b2c market famous examples pure play companies tsmc global foundries provide production service companies ensuring ip rights design kept safe choose pure play company 8seneca team extensions flexibility team s size high level expertise having control product intellectual property ability tailored approach agile integration internal team,pure play team extensions bb exclusive outsourcing highly qualified professionals pure play company company solely focused bb service having developed products bc market famous examples pure play companies tsmc global foundries provide production service companies ensuring ip rights design kept safe choose pure play company seneca team extensions flexibility team s size high level expertise having control product intellectual property ability tailored approach agile integration internal team,666,496,104,67
4,Accenture,IT Service and IT Consulting,IT Services and IT Consulting,301-500 employees,Vietnam,Monday - Friday,No OT,"A global professional services company with leading capabilities in digital, cloud and security
ACCENTURE (NYSE: ACN) has completed its acquisition of Linkbynet in Juy 2021, 
Accenture is a global professional services company with leading capabilities in digital, cloud and security. Combining unmatched experience and specialized skills across more than 40 industries, we offer Strategy and Consulting, Technology and Operations services and Accenture Song—all powered by the world’s largest network of Advanced Technology and Intelligent Operations centers. 
Our 710,000 people deliver on the promise of technology and human ingenuity every day, serving clients in more than 120 countries. We embrace the power of change to create value and shared success for our clients, people, shareholders, partners, and communities.
""Across the globe, one thing is universally true of the people of Accenture: We care deeply about what we do and the impact we have with our clients and communities. It is personal to all of us.""
Julie Sweet
Chair & CEO","Our Key Skills
Cloud
Linux
DevOps
Networking
System Engineer
Database
We are expert in Cloud environment and High Critical IT environment Management. Our job is make our Customer IT platforms go like clockwork.","Hybrid working
Wonderful and Human focus Environment
Global Training Program (Cloud, OS,...)
+3
Hybrid working
Global Training 
Performance bonus
Full social insurance, unemployment insurance, health insurance
Personal incident and health insurance
Wonderful and Human focus Environment
Dynamic and young work force
Great working environment (relax corners, PS4, ping-pong table etc.)","{'Ho Chi Minh': ['9th Floor, Viettel Tower, 285 Cach Mang Thang 8, District 10, Ho Chi Minh']}","https://itviec.com/companies/accenture
",global professional services company leading capabilities digital cloud security accenture nyse acn completed acquisition linkbynet juy 2021 accenture global professional services company leading capabilities digital cloud security combining unmatched experience specialized skills 40 industries offer strategy consulting technology operations services accenture song powered world s largest network advanced technology intelligent operations centers 710 000 people deliver promise technology human ingenuity day serving clients 120 countries embrace power change create value shared success clients people shareholders partners communities globe thing universally true people accenture care deeply impact clients communities personal julie sweet chair ceo,global professional services company leading capabilities digital cloud security accenture nyse acn completed acquisition linkbynet juy accenture global professional services company leading capabilities digital cloud security combining unmatched experience specialized skills industries offer strategy consulting technology operations services accenture song powered world s largest network advanced technology intelligent operations centers people deliver promise technology human ingenuity day serving clients countries embrace power change create value shared success clients people shareholders partners communities globe thing universally true people accenture care deeply impact clients communities personal julie sweet chair ceo,1044,736,159,88
5,Adnovum Vietnam,IT Service and IT Consulting,IT Services and IT Consulting,51-150 employees,Switzerland,Monday - Friday,No OT,"Adnovum
We are the sharp-minded IT experts who tackle the trickiest software and security challenges. With more than 700 employees in our locations in Zurich (HQ), Bern, Lausanne, Budapest, Lisbon, Singapore, and Ho Chi Minh City, we make the digital business of our clients work.
As a great team, we empower each other to share, grow and succeed. The unique Adnovum spirit across locations stands for helping each other at any time, having an open door and contributing to an appreciating and trustful atmosphere. We always enjoy having a laugh, a coffee or a drink together!
Apart from our unique «one Adnovum» spirit, we offer a solution-oriented engineering culture with flat hierarchies, which gives you the opportunity to contribute with your opinions and ideas. We embrace flexible working, like the possibility to work part-time and a hybrid work model. Your continuous education and development are key to us. Therefore, we actively encourage and support individual training opportunities.
 ","J2EE
Java
Spring
JavaScript
English
.NET","Competitive salary + compensation package
Flexible and international working environment
Sharp your own career in global projects
+3
What We offer
1. Attractive Remuneration Package:
Competitive salary, 13th-month salary, and bonuses (variable bonus, loyalty, referral, etc.)
100% salary and full insurance coverage during the probation period
Premium healthcare plan and additional insurance
14-18 days of paid leave annually
2. Career Development and Learning Opportunities:","{'Ho Chi Minh': ['Etown 2 Building, 364 Cong Hoa, Tan Binh, Ho Chi Minh']}","https://itviec.com/companies/adnovum-vietnam
",adnovum sharp minded experts tackle trickiest software security challenges 700 employees locations zurich hq bern lausanne budapest lisbon singapore ho chi minh city make digital business clients work great team empower share grow succeed unique adnovum spirit locations stands helping time having open door contributing appreciating trustful atmosphere enjoy having laugh coffee drink apart unique adnovum spirit offer solution oriented engineering culture flat hierarchies gives opportunity contribute opinions ideas embrace flexible working like possibility work time hybrid work model continuous education development key actively encourage support individual training opportunities,adnovum sharp minded experts tackle trickiest software security challenges employees locations zurich hq bern lausanne budapest lisbon singapore ho chi minh city make digital business clients work great team empower share grow succeed unique adnovum spirit locations stands helping time having open door contributing appreciating trustful atmosphere enjoy having laugh coffee drink apart unique adnovum spirit offer solution oriented engineering culture flat hierarchies gives opportunity contribute opinions ideas embrace flexible working like possibility work time hybrid work model continuous education development key actively encourage support individual training opportunities,1000,682,157,88
6,Ahamove,IT Product,E-commerce,301-500 employees,Vietnam,Monday - Friday,No OT,"Ahamove is positioned as Vietnam’s leading intracity commercial delivery provider.
Founded in 2015 in Ho Chi Minh City, Vietnam, Ahamove is an on-demand logistics service based on the concept of a shared economy, providing customers to fill excess capacity for logistics suppliers and reduce costs for consumers. 
You can find more about us at Facebook case study, Harvard case study, and on Asia Nikkei news.
This is a tremendous opportunity to take your career to the next level. Please review the information below and if you are interested, follow the Apply instructions.","Python
VueJS
NodeJS
Angular","Disruptive innovations
People-oriented philosophy of doing business
Your footprint on regional on-demand market
+2
Annual health check-ups.
Sports club: Running, football, badminton
Open communication with Senior Engineer & Technical Leader
Challenging working environment with attractive domain as Logistics
Fair team
Specific pantry with nice decoration & Coffee/Milk Coffee/Chocolate & Tea
Comfortable Private working Area for TECH team","{'Ho Chi Minh': ['Tòa nhà Rivera Park 7/28 Thành Thái, District 10, Ho Chi Minh']}","https://itviec.com/companies/ahamove
",ahamove positioned vietnam s leading intracity commercial delivery provider founded 2015 ho chi minh city vietnam ahamove demand logistics service based concept shared economy providing customers excess capacity logistics suppliers reduce costs consumers facebook case study harvard case study asia nikkei news tremendous opportunity career level review information interested follow apply instructions,ahamove positioned vietnam s leading intracity commercial delivery provider founded ho chi minh city vietnam ahamove demand logistics service based concept shared economy providing customers excess capacity logistics suppliers reduce costs consumers facebook case study harvard case study asia nikkei news tremendous opportunity career level review information interested follow apply instructions,575,397,92,51
7,AI AVATAR,IT Product,Software Products and Web Services,1-50 employees,Vietnam,Monday - Friday,Extra salary for OT,"Create a world where you can love yourself
At AI AVATAR, we create intelligent AI companions designed to help users feel happier, more confident, and truly understood. Our AI companions offer emotional support, engaging conversations, and personalized interactions, making every user feel valued and empowered.

Recently, we proudly onboarded football legend Ronaldinho as one of our featured AI companions, allowing fans to interact with their idol like never before. Moving forward, we are expanding our community by partnering with more celebrities and key opinion leaders (KOLs) to bring even greater value to people worldwide.

Join us as we redefine human-AI connections and create a future where companionship and confidence are always within reach.",,"Ha Noi
3rd Floor, IPH Shopping Center, 241 Xuan Thuy, Dich Vong Hau, Cau Giay, Ha Noi, Cau Giay, Ha Noi
4th Floor, N01-T4, Ngoai Giao Doan, Do Nhuan, Bac Tu Liem, Ha Noi, Bac Tu Liem, Ha Noi","{'Ha Noi': ['3rd Floor, IPH Shopping Center, 241 Xuan Thuy, Dich Vong Hau, Cau Giay, Ha Noi, Cau Giay, Ha Noi', '4th Floor, N01-T4, Ngoai Giao Doan, Do Nhuan, Bac Tu Liem, Ha Noi, Bac Tu Liem, Ha Noi']}","https://itviec.com/companies/ai-avatar
",create world love ai avatar create intelligent ai companions designed help users feel happier confident truly understood ai companions offer emotional support engaging conversations personalized interactions making user feel valued empowered recently proudly onboarded football legend ronaldinho featured ai companions allowing fans interact idol like moving forward expanding community partnering celebrities key opinion leaders kols bring greater value people worldwide join redefine human ai connections create future companionship confidence reach,create world love ai avatar create intelligent ai companions designed help users feel happier confident truly understood ai companions offer emotional support engaging conversations personalized interactions making user feel valued empowered recently proudly onboarded football legend ronaldinho featured ai companions allowing fans interact idol like moving forward expanding community partnering celebrities key opinion leaders kols bring greater value people worldwide join redefine human ai connections create future companionship confidence reach,756,551,113,70
8,AITS | Vietnam Airlines,IT Outsourcing,IT Services and IT Consulting,301-500 employees,Vietnam,Monday - Friday,No OT,"Tốc độ - Trách nhiệm - Chủ động - Sáng tạo
TẦM NHÌN
- Công ty dẫn đầu về cung cấp các sản phẩm, dịch vụ công nghệ thông tin, viễn thông, xử lý dữ liệu trong lĩnh vực hàng không, du lịch và lữ hành ở khu vực Campuchia, Lào, Myanmar và Việt Nam.
SỨ MỆNH
- Cung cấp các sản phẩm, dịch vụ công nghệ thông tin, viễn thông, xử lý dữ liệu tốt nhất cho khách hàng nói chung và Tổng Công ty Hàng không Việt Nam – CTCP nói riêng;
- Đồng hành cùng khách hàng, trở thành đối tác tin cậy và phát triển bền vững.
- Cân đối, hài hòa lợi ích chung của Công ty, khách hàng, cổ đông, người lao động và xã hội.
- Tin cậy, An toàn, Chất lượng, Hiệu quả;
- Khách hàng là trung tâm;
- Người Lao Động là tài sản quý giá nhất;
- Công nghệ số và Xử lý dữ liệu là sống còn.
AITS hướng tới việc phát triển nguồn nhân lực chất lượng cao về Công nghệ thông tin. 
Năm 2021 cần tuyển 48 chuyên viên ngành CNTT phục vụ cho các dự án của Công ty và của Vietnamairlines.","Our Key Skills
Java
ASP.NET
C#","+1
Nhân viên có năng lực tốt có thể ký hợp đồng chính thức khi chưa hết thời gian thử việc
Môi trường làm việc năng động, thân thiện, cơ hội thăng tiến.
Tăng lương theo hiệu quả công việc và cam kết đầy đủ các chế độ dành cho người lao động theo như quy định pháp luật hiện hành.
Chế độ, phúc lợi:
Tất cả người lao động ký HĐLĐ với công ty đều được đóng và hưởng chế độ BHXH, BHYT, BHTN theo đúng quy định của Pháp luật.
Được khám sức khỏe định kỳ hàng năm.
Được cấp tiền trang phục hàng năm.
Được hưởng chế độ nghỉ mát hàng năm.
Được hỗ trợ các loại phụ cấp tùy thuộc vào đặc thù của Công việc","{'Ha Noi': ['412 Nguyen Van Cu, Long Bien, Ha Noi'], 'Ho Chi Minh': ['49 Trường Sơn, Phường 2, Tan Binh, Ho Chi Minh'], 'Da Nang': ['Đường Nguyễn Văn Linh, Thanh Khe, Da Nang']}","https://itviec.com/companies/aits-vietnam-airlines
",tốc độ trách nhiệm chủ động sáng tạo tầm nhìn công ty dẫn đầu về cung cấp các sản phẩm dịch vụ công nghệ thông tin viễn thông xử lý dữ liệu trong lĩnh vực hàng không du lịch và lữ hành ở khu vực campuchia lào myanmar và việt nam sứ mệnh cung cấp các sản phẩm dịch vụ công nghệ thông tin viễn thông xử lý dữ liệu tốt nhất cho khách hàng nói chung và tổng công ty hàng không việt nam ctcp nói riêng đồng hành cùng khách hàng trở thành đối tác tin cậy và phát triển bền vững cân đối hài hòa lợi ích chung của công ty khách hàng cổ đông người lao động và xã hội tin cậy toàn chất lượng hiệu quả khách hàng là trung tâm người lao động là tài sản quý giá nhất công nghệ số và xử lý dữ liệu là sống còn aits hướng tới việc phát triển nguồn nhân lực chất lượng cao về công nghệ thông tin năm 2021 cần tuyển 48 chuyên viên ngành cntt phục vụ cho các dự án của công ty và của vietnamairlines,tốc độ trách nhiệm chủ động sáng tạo tầm nhìn công ty dẫn đầu về cung cấp các sản phẩm dịch vụ công nghệ thông tin viễn thông xử lý dữ liệu trong lĩnh vực hàng không du lịch và lữ hành ở khu vực campuchia lào myanmar và việt nam sứ mệnh cung cấp các sản phẩm dịch vụ công nghệ thông tin viễn thông xử lý dữ liệu tốt nhất cho khách hàng nói chung và tổng công ty hàng không việt nam ctcp nói riêng đồng hành cùng khách hàng trở thành đối tác tin cậy và phát triển bền vững cân đối hài hòa lợi ích chung của công ty khách hàng cổ đông người lao động và xã hội tin cậy toàn chất lượng hiệu quả khách hàng là trung tâm người lao động là tài sản quý giá nhất công nghệ số và xử lý dữ liệu là sống còn aits hướng tới việc phát triển nguồn nhân lực chất lượng cao về công nghệ thông tin năm cần tuyển chuyên viên ngành cntt phục vụ cho các dự án của công ty và của vietnamairlines,936,873,207,192
9,Aletech Technology Solutions Company,IT Outsourcing,Software Development Outsourcing,1-50 employees,Vietnam,Monday - Friday,No OT,"Not only technology, but also solution!
At Aletech, we're more than just a software development company. We're pioneers in innovation, with a portfolio of cutting-edge products that include an internal smart system powered by Chat GPT, an automated shopping workflow, and a cryptocurrency mobile application.
We firmly believe that the growth of each team member contributes to the success of the organization. That's why we are dedicated to enhancing the skills and experiences of our team and providing an environment that fosters personal and professional growth.
If you're searching for a workplace where your passion meets purpose, Aletech is the place to be. Join us and be a part of a team that thrives on innovation, creativity, and a shared commitment to excellence.
Address
Office 1: Binh Thanh District, Ho Chi Minh City
Office 2: Buon Ma Thuot City, Daklak Province
Office 3: Trung Kinh, Ha Noi ","Java
.NET
Python
JavaScript
NodeJS
Tester","13th-month salary and bonus every month
Health and dental insurance.
Traveling at least one time a year
+2
Competitive Salary – based on skills and experience
Bonuses – 13th-month salary + performance bonuses
Company Trips & Events – Travel at least once a year
Professional Growth – Work with cutting-edge technology and scalable solutions
Innovative & Friendly Work Environment – Join a dynamic, forward-thinking team.","{'Ho Chi Minh': ['La Bonita Building - 215 nguyễn Gia Trí (d2 cũ) phường 25 , Binh Thanh, Ho Chi Minh'], 'Ha Noi': ['Khuc Thua Du, Cau Giay, Ha Noi'], 'Others': ['Buon Ma Thuot City, Daklak Province']}","https://itviec.com/companies/aletech-technology-solutions-company
",technology solution aletech just software development company pioneers innovation portfolio cutting edge products include internal smart powered chat gpt automated shopping workflow cryptocurrency mobile application firmly believe growth team member contributes success organization s dedicated enhancing skills experiences team providing environment fosters personal professional growth searching workplace passion meets purpose aletech place join team thrives innovation creativity shared commitment excellence address office 1 binh thanh district ho chi minh city office 2 buon ma thuot city daklak province office 3 trung kinh ha noi,technology solution aletech just software development company pioneers innovation portfolio cutting edge products include internal smart powered chat gpt automated shopping workflow cryptocurrency mobile application firmly believe growth team member contributes success organization s dedicated enhancing skills experiences team providing environment fosters personal professional growth searching workplace passion meets purpose aletech place join team thrives innovation creativity shared commitment excellence address office binh thanh district ho chi minh city office buon ma thuot city daklak province office trung kinh ha noi,907,631,147,81
